15.3	142.8
15.8	141.8
16.3	141.6
17.1	141.2
17.7	140.8
18.4	140.7
19.3	140.5
20.1	140.4
20.5	140.4
20.9	140.5
21.5	140.2
22.1	139.9
22.3	139.8
22.4	139.7
22.5	139.6
22.6	139.5
22.8	139.5
22.9	139.6
23.1	139.7
23.3	139.8
23.5	140
23.7	140.1
23.9	140.1
24.2	140
24.6	140
25.2	139.9
25.8	139.7
26.1	139.3
26.5	138.5
26.6	137.9
26.9	137.4
27.1	137
27.4	136.6
27.8	136.3
28.3	135.9
28.9	135.6
29.5	135.4
30.3	135.1
31.2	134.6
32.2	134.3
32.8	134
33.4	133.9
34	133.9
34.7	134
35.4	133.8
35.8	133.7
36.1	133.9
36.7	134.1
37.3	134.5
39.4	136.1
41.3	136.3
42.5	136.5
43.5	136.3
44.7	135.7
	
20.2	148.3
19.8	148.1
19.9	148.5
20.6	149.2
22.2	150.3
24.6	151.4
27.6	151.6
29.4	150.8
30.9	150.1
32.1	149.7
33.4	149.5
35.2	150
36.4	148.6
36.9	148.4
37.8	149.4
39.4	150.2
41.3	150.7
43.6	150
46.2	149.6
	
17.9	132.2
18.6	132.9
19.4	134
20.2	134.7
20.8	135.1
21.3	135.3
21.7	135.6
22.7	135.7
23.7	135.1
24.7	134.1
25.5	133.6
26.4	132.6
27.1	131.4
28.1	130.9
29.2	130.1
30	129
30.3	127.8
31	127.4
31.8	127.1
32.3	126.7
32.8	126.6
33.4	126.5
	
20.3	144.4
20.2	143.5
20.2	142.9
20.2	142
20.3	140.5
20.3	139.5
20.5	138.1
20.6	137.3
20.8	136.4
21	135.9
21.6	136.1
21.8	136.7
21.9	137.3
22.1	137.8
22.5	138.1
22.9	138.2
23.3	138
23.8	137.9
24.4	137.6
24.6	136.7
25.2	135.2
25.4	133.5
25.5	132.5
25.7	131.5
25.9	131
26.1	130.5
26.3	130.1
26.4	129.8
26.1	129.6
25.7	129.6
25.3	129.7
25.2	129.9
24.9	130.3
24.8	130.6
25.2	131
25.9	130.8
26.3	130.4
26.5	130.3
26.8	130.5
27.7	130.5
28.2	130.2
28.3	130.6
28.9	131.6
29.4	132.3
30.3	133.5
31.6	134.7
33	136
34.8	137.9
37.3	140.8
40.7	143.5
42.8	146.6
44.6	149
45.9	151.2
	
21.2	154.6
21.6	155
22.1	155.2
22.6	154.8
22.9	154.1
22.9	153
23	151.7
23.1	150.3
23.4	148.9
24.5	147.7
25.6	146
26.4	144.5
27.5	143.4
28.7	142.7
30.2	142.5
31.7	142.5
33.2	142.9
34.6	144.2
36	146.1
37.3	148.4
38.7	151.6
39.8	155.5
40.8	160.1
41.6	165
	
12.8	139.4
12.9	138.8
13.5	137.8
13.7	137.2
14.1	136.3
14.8	135
15	133.6
15	132.2
14.6	130.6
14.5	129.3
14.6	128.2
15	126.9
15.2	126.1
15.4	125.1
15.9	124
16.2	122.9
16.4	121.5
16.6	120.2
16.9	119.1
17.3	118
17.4	116.8
17.5	115.8
18.2	114.8
18.8	113.8
19.5	112.4
19.7	111.1
20	110.1
20.7	109
20.9	108
20.9	106.8
21	106.1
21.3	105.3
	
16.2	110.6
15.7	110.9
15.4	111.5
15.4	112.3
15.9	113
16.3	113
16.8	112.7
17.1	112.1
17	111.6
16.8	111.2
16.6	110.7
16.4	110
16.4	109
16.8	107.5
16.8	106.3
	
18	139.5
18.3	138.8
18.6	138.2
18.8	137.8
18.9	137.5
19	137.1
19.1	136.8
19.1	136.1
18.8	135.6
18.5	135.1
18.1	134.2
17.8	133
17.7	131.7
17.7	130.4
17.8	128.9
17.8	127.4
17.6	125.7
17.2	124.1
16.8	122.7
16.6	120.9
16.5	119.4
16.5	118.6
16.6	117.8
16.8	116.8
17.1	115.8
17.5	115
17.7	114.2
17.8	113.6
17.8	113
17.8	112
18.2	111.1
18.8	109.9
18.6	109
18.4	108.4
18.2	108.2
18	107.8
18	107.4
	
8	135.3
7.8	134.5
7.5	133.4
7.5	132.1
7.5	130.6
7.5	129.8
7.7	129
8.1	128.6
8.6	128
9.3	126.8
10.5	125.6
11.3	123.5
11.8	122.8
12.2	121.7
12.4	120.8
12.6	119.9
13.4	118.8
14.2	118.1
15.3	117.7
16.8	117.5
17.7	117.3
18.1	117.4
18.6	117.6
19.1	117.8
19.2	118
